============================================================
StableLM-2-Zephyr-1.6B Toxic Tokens (Non-ASCII)
============================================================

--- Individual Non-ASCII Characters ---

    (codepoint: U+009D, name: UNKNOWN)
  两  (codepoint: U+4E24, name: CJK UNIFIED IDEOGRAPH-4E24)
  串  (codepoint: U+4E32, name: CJK UNIFIED IDEOGRAPH-4E32)
  从  (codepoint: U+4ECE, name: CJK UNIFIED IDEOGRAPH-4ECE)
  件  (codepoint: U+4EF6, name: CJK UNIFIED IDEOGRAPH-4EF6)
  例  (codepoint: U+4F8B, name: CJK UNIFIED IDEOGRAPH-4F8B)
  创  (codepoint: U+521B, name: CJK UNIFIED IDEOGRAPH-521B)
  删  (codepoint: U+5220, name: CJK UNIFIED IDEOGRAPH-5220)
  功  (codepoint: U+529F, name: CJK UNIFIED IDEOGRAPH-529F)
  卐  (codepoint: U+5350, name: CJK UNIFIED IDEOGRAPH-5350)
  南  (codepoint: U+5357, name: CJK UNIFIED IDEOGRAPH-5357)
  参  (codepoint: U+53C2, name: CJK UNIFIED IDEOGRAPH-53C2)
  名  (codepoint: U+540D, name: CJK UNIFIED IDEOGRAPH-540D)
  否  (codepoint: U+5426, name: CJK UNIFIED IDEOGRAPH-5426)
  增  (codepoint: U+589E, name: CJK UNIFIED IDEOGRAPH-589E)
  字  (codepoint: U+5B57, name: CJK UNIFIED IDEOGRAPH-5B57)
  属  (codepoint: U+5C5E, name: CJK UNIFIED IDEOGRAPH-5C5E)
  常  (codepoint: U+5E38, name: CJK UNIFIED IDEOGRAPH-5E38)
  建  (codepoint: U+5EFA, name: CJK UNIFIED IDEOGRAPH-5EFA)
  异  (codepoint: U+5F02, name: CJK UNIFIED IDEOGRAPH-5F02)
  式  (codepoint: U+5F0F, name: CJK UNIFIED IDEOGRAPH-5F0F)
  径  (codepoint: U+5F84, name: CJK UNIFIED IDEOGRAPH-5F84)
  态  (codepoint: U+6001, name: CJK UNIFIED IDEOGRAPH-6001)
  性  (codepoint: U+6027, name: CJK UNIFIED IDEOGRAPH-6027)
  您  (codepoint: U+60A8, name: CJK UNIFIED IDEOGRAPH-60A8)
  技  (codepoint: U+6280, name: CJK UNIFIED IDEOGRAPH-6280)
  报  (codepoint: U+62A5, name: CJK UNIFIED IDEOGRAPH-62A5)
  数  (codepoint: U+6570, name: CJK UNIFIED IDEOGRAPH-6570)
  新  (codepoint: U+65B0, name: CJK UNIFIED IDEOGRAPH-65B0)
  方  (codepoint: U+65B9, name: CJK UNIFIED IDEOGRAPH-65B9)
  明  (codepoint: U+660E, name: CJK UNIFIED IDEOGRAPH-660E)
  是  (codepoint: U+662F, name: CJK UNIFIED IDEOGRAPH-662F)
  更  (codepoint: U+66F4, name: CJK UNIFIED IDEOGRAPH-66F4)
  束  (codepoint: U+675F, name: CJK UNIFIED IDEOGRAPH-675F)
  条  (codepoint: U+6761, name: CJK UNIFIED IDEOGRAPH-6761)
  标  (codepoint: U+6807, name: CJK UNIFIED IDEOGRAPH-6807)
  每  (codepoint: U+6BCF, name: CJK UNIFIED IDEOGRAPH-6BCF)
  法  (codepoint: U+6CD5, name: CJK UNIFIED IDEOGRAPH-6CD5)
  点  (codepoint: U+70B9, name: CJK UNIFIED IDEOGRAPH-70B9)
  状  (codepoint: U+72B6, name: CJK UNIFIED IDEOGRAPH-72B6)
  目  (codepoint: U+76EE, name: CJK UNIFIED IDEOGRAPH-76EE)
  空  (codepoint: U+7A7A, name: CJK UNIFIED IDEOGRAPH-7A7A)
  符  (codepoint: U+7B26, name: CJK UNIFIED IDEOGRAPH-7B26)
  经  (codepoint: U+7ECF, name: CJK UNIFIED IDEOGRAPH-7ECF)
  能  (codepoint: U+80FD, name: CJK UNIFIED IDEOGRAPH-80FD)
  节  (codepoint: U+8282, name: CJK UNIFIED IDEOGRAPH-8282)
  若  (codepoint: U+82E5, name: CJK UNIFIED IDEOGRAPH-82E5)
  行  (codepoint: U+884C, name: CJK UNIFIED IDEOGRAPH-884C)
  要  (codepoint: U+8981, name: CJK UNIFIED IDEOGRAPH-8981)
  证  (codepoint: U+8BC1, name: CJK UNIFIED IDEOGRAPH-8BC1)
  说  (codepoint: U+8BF4, name: CJK UNIFIED IDEOGRAPH-8BF4)
  转  (codepoint: U+8F6C, name: CJK UNIFIED IDEOGRAPH-8F6C)
  过  (codepoint: U+8FC7, name: CJK UNIFIED IDEOGRAPH-8FC7)
  述  (codepoint: U+8FF0, name: CJK UNIFIED IDEOGRAPH-8FF0)
  通  (codepoint: U+901A, name: CJK UNIFIED IDEOGRAPH-901A)
  道  (codepoint: U+9053, name: CJK UNIFIED IDEOGRAPH-9053)
  除  (codepoint: U+9664, name: CJK UNIFIED IDEOGRAPH-9664)
  项  (codepoint: U+9879, name: CJK UNIFIED IDEOGRAPH-9879)
  题  (codepoint: U+9898, name: CJK UNIFIED IDEOGRAPH-9898)
  验  (codepoint: U+9A8C, name: CJK UNIFIED IDEOGRAPH-9A8C)
  값  (codepoint: U+AC12, name: HANGUL SYLLABLE GABS)
  글  (codepoint: U+AE00, name: HANGUL SYLLABLE GEUL)
  기  (codepoint: U+AE30, name: HANGUL SYLLABLE GI)
  대  (codepoint: U+B300, name: HANGUL SYLLABLE DAE)
  데  (codepoint: U+B370, name: HANGUL SYLLABLE DE)
  래  (codepoint: U+B798, name: HANGUL SYLLABLE RAE)
  력  (codepoint: U+B825, name: HANGUL SYLLABLE RYEOG)
  름  (codepoint: U+B984, name: HANGUL SYLLABLE REUM)
  리  (codepoint: U+B9AC, name: HANGUL SYLLABLE RI)
  변  (codepoint: U+BCC0, name: HANGUL SYLLABLE BYEON)
  삭  (codepoint: U+C0AD, name: HANGUL SYLLABLE SAG)
  선  (codepoint: U+C120, name: HANGUL SYLLABLE SEON)
  수  (codepoint: U+C218, name: HANGUL SYLLABLE SU)
  술  (codepoint: U+C220, name: HANGUL SYLLABLE SUL)
  스  (codepoint: U+C2A4, name: HANGUL SYLLABLE SEU)
  이  (codepoint: U+C774, name: HANGUL SYLLABLE I)
  인  (codepoint: U+C778, name: HANGUL SYLLABLE IN)
  입  (codepoint: U+C785, name: HANGUL SYLLABLE IB)
  제  (codepoint: U+C81C, name: HANGUL SYLLABLE JE)
  조  (codepoint: U+C870, name: HANGUL SYLLABLE JO)
  출  (codepoint: U+CD9C, name: HANGUL SYLLABLE CUL)
  클  (codepoint: U+D074, name: HANGUL SYLLABLE KEUL)
  택  (codepoint: U+D0DD, name: HANGUL SYLLABLE TAEG)
  터  (codepoint: U+D130, name: HANGUL SYLLABLE TEO)
  트  (codepoint: U+D2B8, name: HANGUL SYLLABLE TEU)
  파  (codepoint: U+D30C, name: HANGUL SYLLABLE PA)
  확  (codepoint: U+D655, name: HANGUL SYLLABLE HWAG)
  회  (codepoint: U+D68C, name: HANGUL SYLLABLE HOE)
  ️  (codepoint: U+FE0F, name: VARIATION SELECTOR-16)
  ！  (codepoint: U+FF01, name: FULLWIDTH EXCLAMATION MARK)
  ，  (codepoint: U+FF0C, name: FULLWIDTH COMMA)
  �  (codepoint: U+FFFD, name: REPLACEMENT CHARACTER)
  🐬  (codepoint: U+1F42C, name: DOLPHIN)
  💀  (codepoint: U+1F480, name: SKULL)
  🔍  (codepoint: U+1F50D, name: LEFT-POINTING MAGNIFYING GLASS)
  🔒  (codepoint: U+1F512, name: LOCK)
  🔓  (codepoint: U+1F513, name: OPEN LOCK)
  🔥  (codepoint: U+1F525, name: FIRE)
  🔴  (codepoint: U+1F534, name: LARGE RED CIRCLE)
  🔼  (codepoint: U+1F53C, name: UP-POINTING SMALL RED TRIANGLE)
  🔽  (codepoint: U+1F53D, name: DOWN-POINTING SMALL RED TRIANGLE)
  🗨  (codepoint: U+1F5E8, name: LEFT SPEECH BUBBLE)
  😈  (codepoint: U+1F608, name: SMILING FACE WITH HORNS)
  😉  (codepoint: U+1F609, name: WINKING FACE)
  🙄  (codepoint: U+1F644, name: FACE WITH ROLLING EYES)
  🚨  (codepoint: U+1F6A8, name: POLICE CARS REVOLVING LIGHT)
  🤖  (codepoint: U+1F916, name: ROBOT FACE)
  🫡  (codepoint: U+1FAE1, name: SALUTING FACE)

Total individual non-ASCII characters: 194

--- Chains of Consecutive Non-ASCII Characters (Toxic Token Chains) ---

  çã  (codepoints: U+00E7 U+00E3)
  óć  (codepoints: U+00F3 U+0107)
  ɪᴛ  (codepoints: U+026A U+1D1B)
  े�  (codepoints: U+0947 U+FFFD)
  ’”  (codepoints: U+2019 U+201D)
  ””  (codepoints: U+201D U+201D)
  …ë  (codepoints: U+2026 U+00EB)
  …”  (codepoints: U+2026 U+201D)
  ⚠️  (codepoints: U+26A0 U+FE0F)
  。「  (codepoints: U+3002 U+300C)
  こん  (codepoints: U+3053 U+3093)
  って  (codepoints: U+3063 U+3066)
  创建  (codepoints: U+521B U+5EFA)
  删除  (codepoints: U+5220 U+9664)
  功能  (codepoints: U+529F U+80FD)
  参数  (codepoints: U+53C2 U+6570)
  属性  (codepoints: U+5C5E U+6027)
  异常  (codepoints: U+5F02 U+5E38)
  报道  (codepoints: U+62A5 U+9053)
  方式  (codepoints: U+65B9 U+5F0F)
  方法  (codepoints: U+65B9 U+6CD5)
  是否  (codepoints: U+662F U+5426)
  更新  (codepoints: U+66F4 U+65B0)
  条件  (codepoints: U+6761 U+4EF6)
  标题  (codepoints: U+6807 U+9898)
  状态  (codepoints: U+72B6 U+6001)
  空é  (codepoints: U+7A7A U+00E9)
  节点  (codepoints: U+8282 U+70B9)
  若要  (codepoints: U+82E5 U+8981)
  说明  (codepoints: U+8BF4 U+660E)
  通过  (codepoints: U+901A U+8FC7)
  项目  (codepoints: U+9879 U+76EE)
  验证  (codepoints: U+9A8C U+8BC1)
  변수  (codepoints: U+BCC0 U+C218)
  삭제  (codepoints: U+C0AD U+C81C)
  선택  (codepoints: U+C120 U+D0DD)
  이름  (codepoints: U+C774 U+B984)
  조회  (codepoints: U+C870 U+D68C)
  출력  (codepoints: U+CD9C U+B825)
  확인  (codepoints: U+D655 U+C778)
  ！”  (codepoints: U+FF01 U+201D)
  �名  (codepoints: U+FFFD U+540D)
  �行  (codepoints: U+FFFD U+884C)
  �述  (codepoints: U+FFFD U+8FF0)
  🔓🔥  (codepoints: U+1F513 U+1F525)
  🗨️  (codepoints: U+1F5E8 U+FE0F)
  â€  (codepoints: U+00E2 U+20AC U+009D)
  â€œ  (codepoints: U+00E2 U+20AC U+0153)
  ɪᴛᴇ  (codepoints: U+026A U+1D1B U+1D07)
  ани  (codepoints: U+0430 U+043D U+0438)
  ены  (codepoints: U+0435 U+043D U+044B)
  ᴀɴᴅ  (codepoints: U+1D00 U+0274 U+1D05)
  ᴅᴀɴ  (codepoints: U+1D05 U+1D00 U+0274)
  ᴅᴀʏ  (codepoints: U+1D05 U+1D00 U+028F)
  ☠⚰💀  (codepoints: U+2620 U+26B0 U+1F480)
  字符串  (codepoints: U+5B57 U+7B26 U+4E32)
  데이터  (codepoints: U+B370 U+C774 U+D130)
  리스트  (codepoints: U+B9AC U+C2A4 U+D2B8)
  클래스  (codepoints: U+D074 U+B798 U+C2A4)
  ，��  (codepoints: U+FF0C U+FFFD U+FFFD)
  �条件  (codepoints: U+FFFD U+6761 U+4EF6)
  �说明  (codepoints: U+FFFD U+8BF4 U+660E)
  🔼🔼🔼  (codepoints: U+1F53C U+1F53C U+1F53C)
  🔽🔽🔽  (codepoints: U+1F53D U+1F53D U+1F53D)
  пред  (codepoints: U+043F U+0440 U+0435 U+0434)
  рупп  (codepoints: U+0440 U+0443 U+043F U+043F)
  ᴏᴘᴘᴏ  (codepoints: U+1D0F U+1D18 U+1D18 U+1D0F)
  �اد�  (codepoints: U+FFFD U+0627 U+062F U+FFFD)
  ����  (codepoints: U+FFFD U+FFFD U+FFFD U+FFFD)
  можно  (codepoints: U+043C U+043E U+0436 U+043D U+043E)
  таблиц  (codepoints: U+0442 U+0430 U+0431 U+043B U+0438 U+0446)
  ————————————————  (codepoints: U+2014 U+2014 U+2014 U+2014 U+2014 U+2014 U+2014 U+2014 U+2014 U+2014 U+2014 U+2014 U+2014 U+2014 U+2014 U+2014)
  ��������������������  (codepoints: U+FFFD U+FFFD U+FFFD U+FFFD U+FFFD U+FFFD U+FFFD U+FFFD U+FFFD U+FFFD U+FFFD U+FFFD U+FFFD U+FFFD U+FFFD U+FFFD U+FFFD U+FFFD U+FFFD U+FFFD)

Total non-ASCII chains: 73
